Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
PL11,"257,500",,,"173,495","255,000",,,,216,216,8.0,26%,,,,,,,,,,,,22%,32%,39%,50,South West,"10,495",24%,23%,15%,"38,500",3.0,13%,16%
PL12,"265,187",,,"214,961","251,927","417,500",,,229,229,12.0,20%,799,,,,,,,,,3.6%,,11%,18%,24%,61,South West,"21,882",28%,20%,23%,"43,000",3.0,12%,12%
PL13,"313,186",,,"220,478","322,679","446,000",,320,256,288,9.0,11%,,,,,,,,,,,,10%,31%,41%,69,South West,"9,400",23%,29%,18%,"35,200",3.0,12%,15%
PL14,"261,088",,,"193,844","259,797","385,887",,271,217,244,21.0,25%,,,,,,,,,,,,15%,32%,35%,76,South West,"22,849",24%,26%,19%,"37,700",3.0,14%,16%
PL15,"263,581",,,"162,670","274,032","394,372",,243,215,229,18.0,28%,,,,,,,,,,,,7%,21%,32%,50,South West,"20,080",22%,25%,16%,"37,300",3.0,10%,19%
PL16,"321,778",,,,,,,,224,224,3.0,53%,,,,,,,,,,,,18%,35%,40%,41,South West,"1,889",26%,20%,22%,"40,700",3.0,8%,15%
PL17,"305,941",,,"193,750","309,583","412,143",,275,219,247,7.0,19%,,,,,,,,,,,,17%,20%,33%,42,South West,"10,071",27%,23%,22%,"39,000",3.0,10%,15%
PL18,"283,357",,,,"303,265",,,,226,226,3.0,24%,,,,,,,,,,,,-3%,11%,26%,34,South West,"4,896",32%,21%,24%,"38,900",3.0,10%,12%
PL19,"306,099",,,"224,794","300,857","418,259",,265,263,264,13.0,22%,,,,,,,,,,,,1%,20%,26%,42,South West,"16,443",31%,21%,26%,"40,000",3.0,10%,15%
PL20,"365,229",,,,"315,385",,,,243,243,7.0,30%,,,,,,,,,,,,17%,38%,45%,43,South West,"12,081",35%,20%,30%,"43,500",3.0,11%,12%
PL21,"305,106",,,"208,223","283,785","433,553",,,272,272,10.0,30%,,,,,,,,,,,,7%,14%,27%,44,South West,"17,741",32%,17%,27%,"45,700",3.0,9%,12%
PL22,"315,452",,,"252,500",,,,,236,236,,,,,,,,,,,,,,7%,47%,25%,51,South West,"3,641",29%,25%,25%,"37,600",3.0,9%,18%
PL23,"467,197",,,,,,,,326,326,3.0,11%,,,,,,,,,,,,10%,37%,58%,42,South West,"3,410",32%,19%,24%,"35,000",3.0,13%,17%
PL24,"206,155",,,"153,809","235,438",,,,219,219,6.0,15%,,,,,,,,,,,,8%,19%,38%,61,South West,"10,444",18%,29%,13%,"34,600",3.0,12%,15%
PL25,"268,039",,,"198,667","268,735","398,562",,276,224,250,19.0,23%,812,,,,,,,,,3.6%,,5%,25%,31%,107,South West,"25,532",20%,27%,16%,"37,000",2.0,12%,16%
PL26,"288,533",,,"225,218","277,983","379,419",,,214,214,19.0,21%,,,,,,,,,,,,9%,22%,31%,58,South West,"26,581",19%,28%,14%,"37,000",3.0,10%,18%
PL27,"485,345",,,"298,031","419,565","648,056",,,284,284,10.0,19%,,,,,,,,,,,,-6%,17%,23%,44,South West,"12,081",25%,24%,19%,"35,500",3.0,12%,18%
PL28,"659,997",,,"534,499","676,244",,,,393,393,3.0,9%,,,,,,,,,,,,-3%,34%,45%,56,South West,"4,494",26%,24%,16%,"35,700",3.0,17%,12%
PL30,"408,621",,,,"367,585","545,346",,,257,257,7.0,23%,,,,,,,,,,,,11%,25%,49%,38,South West,"10,302",22%,26%,19%,"38,200",3.0,8%,12%
PL31,"231,060",,,"158,000","240,621","371,842",,,205,205,9.0,30%,,,,,,,,,,,,9%,20%,26%,116,South West,"14,575",17%,29%,12%,"34,900",3.0,20%,18%
PL32,"251,565",,,,,,,,220,220,4.0,20%,,,,,,,,,,,,5%,22%,26%,81,South West,"4,148",23%,25%,14%,"36,700",3.0,12%,16%
PL33,,,,,,,,,197,197,2.0,24%,,,,,,,,,,,,18%,28%,44%,36,South West,"1,911",20%,31%,9%,"33,500",3.0,15%,15%
PL34,"450,318",,,,,,,,268,268,,,,,,,,,,,,,,3%,15%,15%,74,South West,"1,755",20%,28%,15%,"33,400",3.0,5%,19%
PL35,,,,,,,,,277,277,3.0,30%,,,,,,,,,,,,5%,21%,25%,34,South West,939,26%,23%,21%,"33,400",3.0,8%,15%
PO1,"227,051",,"142,333","223,912","249,629",,,,255,255,19.0,22%,"1,115",,757,"1,049","1,254","1,501",,477,,5.9%,41%,4%,15%,23%,256,South East,"29,124",20%,36%,16%,"33,000",2.0,36%,25%
PO2,"233,183",,"137,174","185,584","268,272","319,562",,,219,219,23.0,30%,817,,637,919,"1,169",,,469,579,4.2%,140%,7%,13%,27%,125,South East,"41,643",18%,29%,13%,"39,900",3.0,15%,22%
PO3,"268,928",,,"187,608","298,536",,,,250,250,13.0,63%,962,,,,,,,,,4.3%,,5%,11%,24%,130,South East,"19,664",19%,26%,18%,"44,600",3.0,8%,16%
PO4,"262,802",,"136,470","227,291","291,512","348,461",,299,268,283,32.0,39%,"1,475",,552,946,"1,218","1,578","2,102",491,,6.7%,31%,6%,6%,21%,101,South East,"43,250",28%,22%,24%,"45,600",3.0,7%,32%
PO5,"241,303",,"139,195","218,990","303,166","464,687",,,268,268,16.0,23%,"1,437",,705,934,"1,283","1,647","2,128",519,,7.1%,30%,3%,16%,30%,166,South East,"29,348",30%,26%,23%,"37,100",2.0,22%,41%
PO6,"326,635",,,"225,379","324,483","524,928",,304,273,289,26.0,34%,"1,138",,,,,,,,,4.2%,,1%,12%,16%,118,South East,"40,646",22%,26%,20%,"44,800",3.0,20%,12%
PO7,"345,394",,"166,365","257,817","356,944","498,707",,,317,317,25.0,25%,"1,015",,,,,,,,,3.5%,,1%,10%,20%,81,South East,"39,953",24%,20%,24%,"46,900",3.0,15%,9%
PO8,"391,979",,,"279,391","377,777","506,734",,357,317,337,22.0,25%,976,,,,,,,,,3.0%,,6%,15%,21%,66,South East,"33,986",25%,19%,27%,"48,400",3.0,13%,7%
PO9,"300,848",,"153,352","242,847","299,797","574,628",,333,282,308,25.0,27%,989,,,,,,,,,3.9%,,1%,13%,24%,134,South East,"48,663",19%,30%,16%,"40,800",3.0,29%,9%
PO10,"461,226",,,"314,498","429,977","668,331",,,368,368,11.0,23%,,,,,,,,,,,,6%,11%,22%,56,South East,"18,268",35%,17%,33%,"48,000",3.0,11%,14%
PO11,"398,390",,,"256,257","416,881","527,917",,292,322,307,14.0,17%,997,,,,,,,,,3.0%,,10%,31%,34%,77,South East,"17,376",26%,22%,26%,"39,300",3.0,8%,14%
PO12,"234,542",,"122,475","191,462","264,371","434,524",,270,244,257,43.0,42%,832,,,845,,,,475,,4.3%,,7%,14%,26%,102,South East,"47,660",22%,22%,17%,"43,700",3.0,14%,18%
PO13,"290,007",,,"246,534","294,152","379,210",,252,266,259,22.0,58%,967,,,,,,,,,4.0%,,3%,11%,25%,90,South East,"34,786",20%,22%,15%,"43,700",3.0,20%,15%
PO14,"353,721",,,"277,485","348,300","486,737",,330,333,332,19.0,31%,980,,,,,,,,,3.3%,,2%,11%,22%,65,South East,"32,371",28%,18%,28%,"50,300",3.0,10%,10%
PO15,"345,732",,,"252,103","351,507","499,705",,,325,325,18.0,35%,"1,028",,,,,,,,,3.6%,,6%,13%,18%,58,South East,"22,473",30%,16%,30%,"54,700",3.0,9%,11%
PO16,"334,448",,"148,750","249,313","363,439","458,746",,369,310,339,26.0,41%,890,,,,,,,,,3.2%,,1%,8%,20%,75,South East,"32,612",27%,19%,27%,"49,200",3.0,7%,10%
PO17,"358,322",,,"222,308",,,,,303,303,4.0,36%,,,,,,,,,,,,-6%,13%,25%,71,South East,"6,635",33%,17%,35%,"57,300",3.0,14%,20%
PO18,"526,037",,,"322,775","502,938","695,879",,,382,382,10.0,23%,,,,,,,,,,,,11%,14%,26%,84,South East,"13,225",35%,18%,36%,"49,200",3.0,13%,14%
PO19,"389,915",,"199,132","310,475","442,901","589,644",,408,367,387,23.0,18%,"1,083",,835,"1,048",,,,566,,3.3%,140%,5%,8%,10%,140,South East,"30,184",34%,19%,26%,"43,400",3.0,21%,20%
PO20,"403,443",,"183,162","298,427","401,201","608,562",,376,345,360,24.0,16%,"1,233",,,,,,,,,3.7%,,-1%,15%,25%,69,South East,"32,437",26%,22%,22%,"39,400",3.0,10%,12%
PO21,"290,899",,"138,831","236,268","373,728","535,171",,334,298,316,26.0,18%,911,,736,,,,,561,,3.8%,,4%,12%,27%,122,South East,"39,509",20%,28%,15%,"35,000",2.0,9%,21%
PO22,"367,077",,"141,492","264,896","386,634","567,271","741,995",350,325,337,18.0,18%,"1,167",,,,,,,,,3.8%,,10%,16%,22%,84,South East,"28,866",22%,24%,20%,"39,300",3.0,9%,12%
PO30,"261,393",,"116,859","190,700","288,505","434,565",,,229,229,20.0,19%,,,,,,,,,,,,11%,25%,29%,118,South East,"29,065",22%,26%,16%,"37,900",3.0,14%,17%
PO31,"306,055",,,"219,194","317,236","559,993",,368,254,311,10.0,16%,,,,,,,,,,,,9%,21%,24%,58,South East,"14,535",29%,20%,26%,"42,900",3.0,7%,19%
PO32,"211,362",,,"184,992","250,577",,,,242,242,7.0,49%,,,,,,,,,,,,10%,19%,26%,67,South East,"8,016",20%,26%,16%,"38,300",3.0,15%,16%
PO33,"245,010",,"118,150","176,436","306,482","486,586",,,235,235,23.0,27%,760,,,,,,,,,3.7%,,11%,24%,34%,103,South East,"31,004",23%,27%,18%,"36,500",3.0,10%,22%
PO34,"493,778",,,,,,,,319,319,3.0,24%,,,,,,,,,,,,7%,29%,31%,48,South East,"2,004",31%,18%,28%,"37,800",3.0,2%,10%
PO35,"346,611",,,,"392,692",,,,328,328,5.0,24%,,,,,,,,,,,,21%,33%,49%,41,South East,"3,603",27%,22%,26%,"37,800",3.0,6%,11%
PO36,"269,676",,,"212,932","290,103","350,000",,,236,236,11.0,17%,,,,,,,,,,,,14%,27%,34%,86,South East,"16,640",17%,30%,14%,"33,100",3.0,11%,16%
PO37,"284,154",,,"231,231","322,837",,,,238,238,8.0,19%,,,,,,,,,,,,15%,31%,45%,87,South East,"9,211",18%,31%,16%,"31,300",3.0,9%,22%
PO38,"305,257",,,"225,160","338,853","561,471",,,256,256,9.0,14%,,,,,,,,,,,,3%,21%,34%,74,South East,"12,747",24%,27%,19%,"35,100",3.0,12%,16%
PO39,"362,826",,,,,,,,248,248,5.0,26%,,,,,,,,,,,,2%,44%,43%,51,South East,"2,528",25%,21%,21%,"34,100",3.0,6%,17%
PO40,"324,824",,,"246,250","328,500",,,,259,259,5.0,22%,,,,,,,,,,,,23%,24%,40%,72,South East,"5,480",22%,28%,16%,"34,100",3.0,13%,12%
PO41,"309,479",,,,,,,,321,321,3.0,38%,,,,,,,,,,,,-13%,,16%,48,South East,"2,183",28%,21%,27%,"36,700",3.0,7%,13%
PR1,"132,964",,"80,514","103,074","160,134","288,125",,,151,151,32.0,17%,750,,533,663,840,"1,328","1,196",387,455,6.8%,24%,4%,9%,18%,224,North West,"72,065",23%,30%,16%,"35,300",3.0,20%,20%
PR2,"167,164",,"73,628","124,842","167,611","302,022","466,888",195,169,182,47.0,17%,724,,487,662,804,,,397,,5.2%,80%,7%,13%,21%,142,North West,"77,773",24%,28%,21%,"38,600",3.0,17%,12%
PR3,"271,353",,,"158,580","237,942","379,377","559,925",256,210,233,28.0,11%,741,,,,,,,,,3.3%,122%,11%,22%,25%,70,North West,"37,540",27%,24%,28%,"43,700",3.0,6%,12%
PR4,"258,326",,,"162,669","213,838","331,190","533,079",212,206,209,47.0,16%,735,,,,,,,,,3.4%,,-1%,3%,10%,79,North West,"57,772",28%,21%,27%,"43,600",3.0,7%,10%
